芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O
られ	ラレ	ラレル	られる	助動詞	*	*	*	助動詞-レル	未然形-一般	2	-8	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	2	-7	O
提案	テーアン	テイアン	提案	名詞	普通名詞	サ変可能	*	*	*	2	-6	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-5	O
持ち出し	モチダシ	モチダス	持ち出す	動詞	一般	*	*	五段-サ行	連用形-一般	2	-4	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-3	O
相手	アイテ	アイテ	相手	名詞	普通名詞	一般	*	*	*	2	-2	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-1	O
譲歩	ジョーホ	ジョウホ	譲歩	名詞	普通名詞	サ変可能	*	*	*	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-C
従い	シタガイ	シタガウ	従う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	2	I-C
ハードル	ハードル	ハードル	ハードル-hurdle	名詞	普通名詞	一般	*	*	*	2	3	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	4	O
下げる	サゲル	サゲル	下げる	動詞	一般	*	*	下一段-ガ行	終止形-一般	2	5	O
。	*	*	。	補助記号	句点	*	*	*	*	2	6	O

強烈	キョーレツ	キョウレツ	強烈	形状詞	一般	*	*	*	*	3	-6	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	3	-5	O
マインド	マインド	マインド	マインド-mind	名詞	普通名詞	一般	*	*	*	3	-4	O
コントロール	コントロール	コントロール	コントロール-control	名詞	普通名詞	サ変可能	*	*	*	3	-3	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-2	O
受け	ウケ	ウケル	受ける	動詞	一般	*	*	下一段-カ行	連用形-一般	3	-1	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	2	I-F
いえ	イエ	イウ	言う	動詞	一般	*	*	文語四段-ハ行	已然形-一般	3	3	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
毒物	ドクブツ	ドクブツ	毒物	名詞	普通名詞	一般	*	*	*	3	5	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	6	O
作る	ツクル	ツクル	作る	動詞	一般	*	*	五段-ラ行	連体形-一般	3	7	O
ほど	ホド	ホド	ほど	助詞	副助詞	*	*	*	*	3	8	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	3	9	O
から	カラ	カラ	から	助詞	接続助詞	*	*	*	*	3	10	O
現実	ゲンジツ	ゲンジツ	現実	名詞	普通名詞	一般	*	*	*	3	11	O
感	カン	カン	感	名詞	普通名詞	一般	*	*	*	3	12	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	13	O
失い	ウシナイ	ウシナウ	失う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	14	O
きっ	キッ	キル	切る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	3	15	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	16	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	3	17	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	18	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	19	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	20	O
思え	オモエ	オモウ	思う	動詞	一般	*	*	下一段-ア行	未然形-一般	3	21	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	3	22	O
。	*	*	。	補助記号	句点	*	*	*	*	3	23	O

通常	ツージョー	ツウジョウ	通常	名詞	普通名詞	副詞可能	*	*	*	3	-21	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-20	O
倍	バイ	バイ	倍	名詞	普通名詞	助数詞可能	*	*	*	3	-19	O
以上	イジョー	イジョウ	以上	名詞	普通名詞	副詞可能	*	*	*	3	-18	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-17	O
陣容	ジンヨー	ジンヨウ	陣容	名詞	普通名詞	一般	*	*	*	3	-16	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-15	O
投入	トーニュー	トウニュウ	投入	名詞	普通名詞	サ変可能	*	*	*	3	-14	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	-13	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	-12	O
米	ベー	ベイ	米	名詞	普通名詞	一般	*	*	*	3	-11	O
ＣＢＳ	シービーエス	シービーエス	ＣＢＳ	名詞	固有名詞	一般	*	*	*	3	-10	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-9	O
ブルース	ブルース	ブルース	ブルース-外国	名詞	固有名詞	人名	一般	*	*	3	-8	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-7	O
ダニング	ダニング	ダニング	ダニング-Dunning	名詞	固有名詞	人名	一般	*	*	3	-6	O
東京	トーキョー	トウキョウ	トウキョウ	名詞	固有名詞	地名	一般	*	*	3	-5	O
支局	シキョク	シキョク	支局	名詞	普通名詞	一般	*	*	*	3	-4	O
長	チョー	チョウ	長	接尾辞	名詞的	一般	*	*	*	3	-3	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-2	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-1	O
取材	シュザイ	シュザイ	取材	名詞	普通名詞	サ変可能	*	*	*	3	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-F
あたっ	アタッ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	2	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-F
本社	ホンシャ	ホンシャ	本社	名詞	普通名詞	一般	*	*	*	3	4	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	3	5	O
珍しい	メズラシー	メズラシイ	珍しい	形容詞	一般	*	*	形容詞	連体形-一般	3	6	O
注文	チューモン	チュウモン	注文	名詞	普通名詞	サ変可能	*	*	*	3	7	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	8	O
つけ	ツケ	ツケル	付ける	動詞	非自立可能	*	*	下一段-カ行	未然形-一般	3	9	O
られ	ラレ	ラレル	られる	助動詞	*	*	*	助動詞-レル	連用形-一般	3	10	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	11	O
。	*	*	。	補助記号	句点	*	*	*	*	3	12	O

バイエルン	バイエルン	バイエルン	バイエルン-Bayern	名詞	固有名詞	地名	一般	*	*	2	-59	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-58	O
狂	キョー	キョウ	狂	接尾辞	名詞的	一般	*	*	*	2	-57	O
王	オー	オウ	王	名詞	普通名詞	一般	*	*	*	2	-56	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-55	O
いわ	イワ	イウ	言う	動詞	一般	*	*	五段-ワア行	未然形-一般	2	-54	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	-53	O
映画	エーガ	エイガ	映画	名詞	普通名詞	一般	*	*	*	2	-52	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-51	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	-50	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	2	-49	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-48	O
ルードビヒ	ルードビヒ	ルードビヒ	ルードビヒ	名詞	固有名詞	一般	*	*	*	2	-47	O
２	ニ	ニ	二	名詞	数詞	*	*	*	*	2	-46	O
世	セー	セイ	世	接尾辞	名詞的	一般	*	*	*	2	-45	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-44	O
ワグナー	ワグナー	ワーグナー	ワーグナー-Wagner	名詞	固有名詞	人名	一般	*	*	2	-43	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-42	O
育て	ソダテ	ソダテル	育てる	動詞	一般	*	*	下一段-タ行	連用形-一般	2	-41	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-40	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	2	-39	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	2	-38	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-37	O
今	イマ	イマ	今	名詞	普通名詞	副詞可能	*	*	*	2	-36	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-35	O
フリップ	フリップ	フリップ	フリップ	名詞	普通名詞	一般	*	*	*	2	-34	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-33	O
信じ	シンジ	シンズル	信ずる	動詞	一般	*	*	サ行変格	連用形-一般	2	-32	O
難い	ガタイ	ガタイ	難い	接尾辞	形容詞的	*	*	形容詞	連体形-一般	2	-31	O
ほど	ホド	ホド	ほど	助詞	副助詞	*	*	*	*	2	-30	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-29	O
完璧	カンペキ	カンペキ	完璧	名詞	普通名詞	形状詞可能	*	*	*	2	-28	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	-27	O
かんぺき	カンペキ	カンペキ	完璧	名詞	普通名詞	形状詞可能	*	*	*	2	-26	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	-25	O
さ	サ	サ	さ	接尾辞	名詞的	一般	*	*	*	2	-24	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	-23	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-22	O
新しい	アタラシー	アタラシイ	新しい	形容詞	一般	*	*	形容詞	連体形-一般	2	-21	O
ロック	ロック	ロック	ロック-rock（音楽）	名詞	普通名詞	一般	*	*	*	2	-20	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-19	O
形	カタチ	カタチ	形	名詞	普通名詞	一般	*	*	*	2	-18	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-17	O
考え	カンガエ	カンガエル	考える	動詞	一般	*	*	下一段-ア行	連用形-一般	2	-16	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-15	O
高度	コード	コウド	高度	形状詞	一般	*	*	*	*	2	-14	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	-13	O
精神	セーシン	セイシン	精神	名詞	普通名詞	一般	*	*	*	2	-12	O
性	セー	セイ	性	接尾辞	名詞的	一般	*	*	*	2	-11	O
—	*	*	—	補助記号	一般	*	*	*	*	2	-10	O
ヒューマニズム	ヒューマニズム	ヒューマニズム	ヒューマニズム-humanism	名詞	普通名詞	一般	*	*	*	2	-9	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-8	O
入る	ハイル	ハイル	入る	動詞	一般	*	*	五段-ラ行	連体形-一般	2	-7	O
余地	ヨチ	ヨチ	余地	名詞	普通名詞	一般	*	*	*	2	-6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-5	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	連体形-一般	2	-4	O
—	*	*	—	補助記号	一般	*	*	*	*	2	-3	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-2	O
与え	アタエ	アタエル	与える	動詞	一般	*	*	下一段-ア行	連用形-一般	2	-1	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O
うえ	ウエ	ウエ	上	名詞	普通名詞	副詞可能	*	*	*	2	1	B-F
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	2	I-F
形	カタチ	カタチ	形	名詞	普通名詞	一般	*	*	*	2	3	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	4	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	5	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	6	O
しまっ	シマッ	シマウ	仕舞う	動詞	非自立可能	*	*	五段-ワア行	連用形-促音便	2	7	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	8	O
。	*	*	。	補助記号	句点	*	*	*	*	2	9	O

なん	ナン	ナニ	何	代名詞	*	*	*	*	*	4	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	1	B-B
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	2	I-B
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-B
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	4	I-B
、	*	*	、	補助記号	読点	*	*	*	*	4	5	O
救援	キューエン	キュウエン	救援	名詞	普通名詞	サ変可能	*	*	*	4	6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	7	O
立ち上がり	タチアガリ	タチアガリ	立ち上がり	名詞	普通名詞	一般	*	*	*	4	8	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	9	O
遅	オソ	オソイ	遅い	形容詞	一般	*	*	形容詞	語幹-一般	4	10	O
すぎ	スギ	スギル	過ぎる	動詞	非自立可能	*	*	上一段-ガ行	連用形-一般	4	11	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	12	O
。	*	*	。	補助記号	句点	*	*	*	*	4	13	O

毎週	マイシュー	マイシュウ	毎週	名詞	普通名詞	副詞可能	*	*	*	4	-8	O
謙	ケン	ケン	ケン	名詞	固有名詞	人名	名	*	*	4	-7	O
さん	サン	サン	さん	接尾辞	名詞的	一般	*	*	*	4	-6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-5	O
サムライ	サムライ	サムライ	侍	名詞	普通名詞	一般	*	*	*	4	-4	O
姿	スガタ	スガタ	姿	名詞	普通名詞	一般	*	*	*	4	-3	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	-2	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	未然形-一般	4	-1	O
られる	ラレル	ラレル	られる	助動詞	*	*	*	助動詞-レル	終止形-一般	4	0	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	4	1	B-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	2	I-C
思う	オモウ	オモウ	思う	動詞	一般	*	*	五段-ワア行	終止形-一般	4	3	I-C
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	4	I-C
、	*	*	、	補助記号	読点	*	*	*	*	4	5	O
楽しみ	タノシミ	タノシミ	楽しみ	名詞	普通名詞	一般	*	*	*	4	6	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	4	7	O
。	*	*	。	補助記号	句点	*	*	*	*	4	8	O

もし	モシ	モシ	若し	副詞	*	*	*	*	*	3	-9	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-8	O
殺害	サツガイ	サツガイ	殺害	名詞	普通名詞	サ変可能	*	*	*	3	-7	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	-6	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	-5	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	3	-4	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-3	O
事実	ジジツ	ジジツ	事実	名詞	普通名詞	副詞可能	*	*	*	3	-2	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	3	-1	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	3	2	I-F
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	3	3	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
別れ	ワカレ	ワカレル	別れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	3	5	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	6	O
夫	オット	オット	夫	名詞	普通名詞	一般	*	*	*	3	7	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	8	O
別れ	ワカレ	ワカレル	別れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	3	9	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	3	10	O
あと	アト	アト	後	名詞	普通名詞	副詞可能	*	*	*	3	11	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	3	12	O
妻	ツマ	ツマ	妻	名詞	普通名詞	一般	*	*	*	3	13	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	14	O
対し	タイシ	タイスル	対する	動詞	一般	*	*	サ行変格	連用形-一般	3	15	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	16	O
つきまとっ	ツキマトッ	ツキマトウ	付き纏う	動詞	一般	*	*	五段-ワア行	連用形-促音便	3	17	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	18	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	3	19	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	20	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	21	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	3	22	O
家庭	カテー	カテイ	家庭	名詞	普通名詞	一般	*	*	*	3	23	O
内	ナイ	ナイ	内	接尾辞	名詞的	一般	*	*	*	3	24	O
暴力	ボーリョク	ボウリョク	暴力	名詞	普通名詞	一般	*	*	*	3	25	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	26	O
延長	エンチョー	エンチョウ	延長	名詞	普通名詞	サ変可能	*	*	*	3	27	O
線	セン	セン	線	接尾辞	名詞的	一般	*	*	*	3	28	O
上	ジョー	ジョウ	上	接尾辞	名詞的	副詞可能	*	*	*	3	29	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	30	O
問題	モンダイ	モンダイ	問題	名詞	普通名詞	一般	*	*	*	3	31	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	32	O
なる	ナル	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	3	33	O
。	*	*	。	補助記号	句点	*	*	*	*	3	34	O

◎	*	*	◎	補助記号	一般	*	*	*	*	4	-11	O
「	*	*	「	補助記号	括弧開	*	*	*	*	4	-10	O
寒	サム	サムイ	寒い	形容詞	一般	*	*	形容詞	語幹-一般	4	-9	O
さ	サ	サ	さ	接尾辞	名詞的	一般	*	*	*	4	-8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-7	O
中	ナカ	ナカ	中	名詞	普通名詞	副詞可能	*	*	*	4	-6	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-5	O
どの	ドノ	ドノ	何の	連体詞	*	*	*	*	*	4	-4	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	4	-3	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	4	-2	O
お	オ	オ	御	接頭辞	*	*	*	*	*	4	-1	O
過ごし	スゴシ	スゴス	過ごす	動詞	一般	*	*	五段-サ行	連用形-一般	4	0	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	4	1	B-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	2	I-C
思う	オモウ	オモウ	思う	動詞	一般	*	*	五段-ワア行	終止形-一般	4	3	I-C
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	4	I-C
胸	ムネ	ムネ	胸	名詞	普通名詞	一般	*	*	*	4	5	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	6	O
痛み	イタミ	イタム	痛む	動詞	一般	*	*	五段-マ行	連用形-一般	4	7	O
ます	マス	マス	ます	助動詞	*	*	*	助動詞-マス	終止形-一般	4	8	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	9	O
＝	*	*	＝	補助記号	一般	*	*	*	*	4	10	O
京都	キョート	キョウト	キョウト	名詞	固有名詞	地名	一般	*	*	4	11	O
府	フ	フ	府	名詞	普通名詞	一般	*	*	*	4	12	O
舞鶴	マイズル	マイヅル	マイヅル	名詞	固有名詞	地名	一般	*	*	4	13	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	4	14	O
、	*	*	、	補助記号	読点	*	*	*	*	4	15	O
井口	イグチ	イグチ	イグチ	名詞	固有名詞	人名	姓	*	*	4	16	O
淳	アツシ	アツシ	アツシ	名詞	固有名詞	人名	名	*	*	4	17	O
さん	サン	サン	さん	接尾辞	名詞的	一般	*	*	*	4	18	O
（	*	*	（	補助記号	括弧開	*	*	*	*	4	19	O
２	ニ	ニ	二	名詞	数詞	*	*	*	*	4	20	O
万	マン	マン	万	名詞	数詞	*	*	*	*	4	21	O
円	エン	エン	円-助数詞	名詞	普通名詞	助数詞可能	*	*	*	4	22	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	4	23	O

「	*	*	「	補助記号	括弧開	*	*	*	*	4	-7	O
給与	キューヨ	キュウヨ	給与	名詞	普通名詞	サ変可能	*	*	*	4	-6	O
や	ヤ	ヤ	や	助詞	副助詞	*	*	*	*	4	-5	O
ボーナス	ボーナス	ボーナス	ボーナス-bonus	名詞	普通名詞	一般	*	*	*	4	-4	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	-3	O
どの	ドノ	ドノ	何の	連体詞	*	*	*	*	*	4	-2	O
程度	テード	テイド	程度	名詞	普通名詞	一般	*	*	*	4	-1	O
減る	ヘル	ヘル	減る	動詞	一般	*	*	五段-ラ行	終止形-一般	4	0	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	4	1	B-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	2	I-C
思う	オモウ	オモウ	思う	動詞	一般	*	*	五段-ワア行	終止形-一般	4	3	I-C
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	4	I-C
、	*	*	、	補助記号	読点	*	*	*	*	4	5	O
この	コノ	コノ	此の	連体詞	*	*	*	*	*	4	6	O
まま	ママ	ママ	侭	名詞	普通名詞	副詞可能	*	*	*	4	7	O
ローン	ローン	ローン	ローン-loan	名詞	普通名詞	一般	*	*	*	4	8	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	9	O
組ん	クン	クム	組む	動詞	一般	*	*	五段-マ行	連用形-撥音便	4	10	O
で	デ	テ	て	助詞	接続助詞	*	*	*	*	4	11	O
家	イエ	イエ	家	名詞	普通名詞	一般	*	*	*	4	12	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	13	O
買っ	カッ	カウ	買う	動詞	一般	*	*	五段-ワア行	連用形-促音便	4	14	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	15	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	連体形-一般	4	16	O
もの	モノ	モノ	物	名詞	普通名詞	サ変可能	*	*	*	4	17	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	4	18	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	19	O
…	*	*	…	補助記号	一般	*	*	*	*	4	20	O
…	*	*	…	補助記号	一般	*	*	*	*	4	21	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	22	O
。	*	*	。	補助記号	句点	*	*	*	*	4	23	O

本来	ホンライ	ホンライ	本来	名詞	普通名詞	副詞可能	*	*	*	2	-70	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-69	O
内閣	ナイカク	ナイカク	内閣	名詞	普通名詞	一般	*	*	*	2	-68	O
改造	カイゾー	カイゾウ	改造	名詞	普通名詞	サ変可能	*	*	*	2	-67	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-66	O
求心	キューシン	キュウシン	求心	名詞	普通名詞	一般	*	*	*	2	-65	O
力	リョク	リョク	力	接尾辞	名詞的	一般	*	*	*	2	-64	O
低下	テーカ	テイカ	低下	名詞	普通名詞	サ変可能	*	*	*	2	-63	O
気味	キミ	キミ	気味	名詞	普通名詞	一般	*	*	*	2	-62	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-61	O
内閣	ナイカク	ナイカク	内閣	名詞	普通名詞	一般	*	*	*	2	-60	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-59	O
カツ	カツ	カツ	カツ-cutlet	名詞	普通名詞	一般	*	*	*	2	-58	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-57	O
入れ	イレ	イレル	入れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	2	-56	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-55	O
活性	カッセー	カッセイ	活性	名詞	普通名詞	サ変可能	*	*	*	2	-54	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	2	-53	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-52	O
促し	ウナガシ	ウナガス	促す	動詞	一般	*	*	五段-サ行	連用形-一般	2	-51	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-50	O
政権	セーケン	セイケン	政権	名詞	普通名詞	一般	*	*	*	2	-49	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-48	O
浮揚	フヨー	フヨウ	浮揚	名詞	普通名詞	サ変可能	*	*	*	2	-47	O
力	リョク	リョク	力	接尾辞	名詞的	一般	*	*	*	2	-46	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-45	O
つける	ツケル	ツケル	付ける	動詞	非自立可能	*	*	下一段-カ行	連体形-一般	2	-44	O
ため	タメ	タメ	為	名詞	普通名詞	副詞可能	*	*	*	2	-43	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-42	O
行う	オコナウ	オコナウ	行う	動詞	一般	*	*	五段-ワア行	連体形-一般	2	-41	O
もの	モノ	モノ	物	名詞	普通名詞	サ変可能	*	*	*	2	-40	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	-39	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	-38	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-37	O
言う	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	終止形-一般	2	-36	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-35	O
やすく	ヤスク	ヤスイ	安い	形容詞	一般	*	*	形容詞	連用形-一般	2	-34	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-33	O
行う	オコナウ	オコナウ	行う	動詞	一般	*	*	五段-ワア行	連体形-一般	2	-32	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-31	O
難し	ムズカシ	ムズカシイ	難しい	形容詞	一般	*	*	形容詞	語幹-一般	2	-30	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	-29	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-28	O
成功	セーコー	セイコウ	成功	名詞	普通名詞	サ変可能	*	*	*	2	-27	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-26	O
条件	ジョーケン	ジョウケン	条件	名詞	普通名詞	一般	*	*	*	2	-25	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-24	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-23	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-22	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-21	O
