芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O	O
さん	サン	サン	さん	接尾辞	名詞的	一般	*	*	*	3	-9	O	O
　	*	*	　	空白	*	*	*	*	*	3	-8	O	O
高齢	コーレー	コウレイ	高齢	名詞	普通名詞	一般	*	*	*	3	-7	O	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	3	-6	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-5	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	-4	O	O
手すり	テスリ	テスリ	手摺	名詞	普通名詞	一般	*	*	*	3	-3	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-2	O	O
つけよう	ツケヨー	ツケル	付ける	動詞	非自立可能	*	*	下一段-カ行	意志推量形	3	-1	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-C	B-F
いう	イウ	イウ	言う	動詞	一般	*	*	五段-ワア行	終止形-一般	3	2	I-C	I-F
と	ト	ト	と	助詞	接続助詞	*	*	*	*	3	3	I-C	I-F
「	*	*	「	補助記号	括弧開	*	*	*	*	3	4	O	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	3	5	O	O
よ	ヨ	ヨ	よ	助詞	終助詞	*	*	*	*	3	6	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	7	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	8	O	O
断る	コトワル	コトワル	断る	動詞	一般	*	*	五段-ラ行	連体形-一般	3	9	O	O
人	ヒト	ヒト	人	名詞	普通名詞	一般	*	*	*	3	10	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	11	O	O
多い	オーイ	オオイ	多い	形容詞	一般	*	*	形容詞	終止形-一般	3	12	O	O
です	デス	デス	です	助動詞	*	*	*	助動詞-デス	終止形-一般	3	13	O	O
ね	ネ	ネ	ね	助詞	終助詞	*	*	*	*	3	14	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	15	O	O

と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-27	O	O
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	2	-26	O	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	2	-25	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-24	O	O
素材	ソザイ	ソザイ	素材	名詞	普通名詞	一般	*	*	*	2	-23	O	O
主義	シュギ	シュギ	主義	名詞	普通名詞	一般	*	*	*	2	-22	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-21	O	O
陥る	オチール	オチイル	陥る	動詞	一般	*	*	五段-ラ行	連体形-一般	2	-20	O	O
訳	ワケ	ワケ	訳	名詞	普通名詞	一般	*	*	*	2	-19	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	-18	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-17	O	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	終止形-一般	2	-16	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	-15	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-14	O	O
投稿	トーコー	トウコウ	投稿	名詞	普通名詞	サ変可能	*	*	*	2	-13	O	O
短歌	タンカ	タンカ	短歌	名詞	普通名詞	一般	*	*	*	2	-12	O	O
欄	ラン	ラン	欄	名詞	普通名詞	一般	*	*	*	2	-11	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-10	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-9	O	O
時代	ジダイ	ジダイ	時代	名詞	普通名詞	一般	*	*	*	2	-8	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-7	O	O
生活	セーカツ	セイカツ	生活	名詞	普通名詞	サ変可能	*	*	*	2	-6	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-5	O	O
映す	ウツス	ウツス	映す	動詞	一般	*	*	五段-サ行	連体形-一般	2	-4	O	O
鏡	カガミ	カガミ	鏡	名詞	普通名詞	一般	*	*	*	2	-3	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	-2	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-1	O	O
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	2	0	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	1	B-F	B-F
よい	ヨイ	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	2	2	I-F	I-F
。	*	*	。	補助記号	句点	*	*	*	*	2	3	O	O

配役	ハイヤク	ハイヤク	配役	名詞	普通名詞	サ変可能	*	*	*	4	-3	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-2	O	O
昨年	サクネン	サクネン	昨年	名詞	普通名詞	副詞可能	*	*	*	4	-1	O	O
末	マツ	マツ	末	接尾辞	名詞的	副詞可能	*	*	*	4	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	1	B-C	B-C
決まっ	キマッ	キマル	決まる	動詞	一般	*	*	五段-ラ行	連用形-促音便	4	2	I-C	I-C
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-C	I-C
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	4	4	I-C	I-C
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	5	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	4	6	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	7	O	O
今年	コトシ	コトシ	今年	名詞	普通名詞	副詞可能	*	*	*	4	8	O	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	4	9	O	O
月	ガツ	ガツ	月	名詞	普通名詞	助数詞可能	*	*	*	4	10	O	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	4	11	O	O
七	ナナ	ナナ	七	名詞	数詞	*	*	*	*	4	12	O	O
日	ニチ	ニチ	日	名詞	普通名詞	助数詞可能	*	*	*	4	13	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	14	O	O
大	ダイ	ダイ	大	接頭辞	*	*	*	*	*	4	15	O	O
震災	シンサイ	シンサイ	震災	名詞	普通名詞	一般	*	*	*	4	16	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	17	O	O
発生	ハッセー	ハッセイ	発生	名詞	普通名詞	サ変可能	*	*	*	4	18	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	19	O	O

そして	ソシテ	ソシテ	そして	接続詞	*	*	*	*	*	2	-40	O	O
これ	コレ	コレ	此れ	代名詞	*	*	*	*	*	2	-39	O	O
まで	マデ	マデ	まで	助詞	副助詞	*	*	*	*	2	-38	O	O
反対	ハンタイ	ハンタイ	反対	名詞	普通名詞	サ変形状詞可能	*	*	*	2	-37	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-36	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-35	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	2	-34	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-33	O	O
領土	リョード	リョウド	領土	名詞	普通名詞	一般	*	*	*	2	-32	O	O
配分	ハイブン	ハイブン	配分	名詞	普通名詞	サ変可能	*	*	*	2	-31	O	O
比率	ヒリツ	ヒリツ	比率	名詞	普通名詞	一般	*	*	*	2	-30	O	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	-29	O	O
イスラム	イスラム	イスラム	イスラム-Islam	名詞	普通名詞	一般	*	*	*	2	-28	O	O
教	キョー	キョウ	教	接尾辞	名詞的	一般	*	*	*	2	-27	O	O
徒	ト	ト	徒	名詞	普通名詞	一般	*	*	*	2	-26	O	O
及び	オヨビ	オヨビ	及び	接続詞	*	*	*	*	*	2	-25	O	O
クロアチア	クロアチア	クロアチア	クロアチア-Croatia	名詞	固有名詞	地名	国	*	*	2	-24	O	O
人	ニン	ニン	人	接尾辞	名詞的	一般	*	*	*	2	-23	O	O
勢力	セーリョク	セイリョク	勢力	名詞	普通名詞	一般	*	*	*	2	-22	O	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	2	-21	O	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	2	-20	O	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	2	-19	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-18	O	O
セルビア	セルビア	セルビア	セルビア-Serbia	名詞	固有名詞	地名	国	*	*	2	-17	O	O
人	ニン	ニン	人	接尾辞	名詞的	一般	*	*	*	2	-16	O	O
勢力	セーリョク	セイリョク	勢力	名詞	普通名詞	一般	*	*	*	2	-15	O	O
四	ヨン	ヨン	四	名詞	数詞	*	*	*	*	2	-14	O	O
九	キュー	キュウ	九	名詞	数詞	*	*	*	*	2	-13	O	O
％	パーセント	パーセント	パーセント-percent	名詞	普通名詞	助数詞可能	*	*	*	2	-12	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	-11	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-10	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-9	O	O
交渉	コーショー	コウショウ	交渉	名詞	普通名詞	サ変可能	*	*	*	2	-8	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-7	O	O
ベース	ベース	ベース	ベース-base	名詞	普通名詞	一般	*	*	*	2	-6	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	-5	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-4	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-3	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-2	O	O
受け入れ	ウケイレ	ウケイレル	受け入れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	2	-1	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	1	B-M	B-M
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	2	I-M	I-M
。	*	*	。	補助記号	句点	*	*	*	*	2	3	O	O

いずれ	イズレ	イズレ	何れ	代名詞	*	*	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-B	B-B
せよ	セヨ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	2	I-B	I-B
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
形態	ケータイ	ケイタイ	形態	名詞	普通名詞	一般	*	*	*	2	4	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	5	O	O
完成	カンセー	カンセイ	完成	名詞	普通名詞	サ変可能	*	*	*	2	6	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	7	O	O
向かう	ムカウ	ムカウ	向かう	動詞	一般	*	*	五段-ワア行	連体形-一般	2	8	O	O
流れ	ナガレ	ナガレ	流れ	名詞	普通名詞	一般	*	*	*	2	9	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	10	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	11	O	O
中断	チューダン	チュウダン	中断	名詞	普通名詞	サ変可能	*	*	*	2	12	O	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	13	O	O
消失	ショーシツ	ショウシツ	消失	名詞	普通名詞	サ変可能	*	*	*	2	14	O	O
へ	エ	ヘ	へ	助詞	格助詞	*	*	*	*	2	15	O	O
向かう	ムカウ	ムカウ	向かう	動詞	一般	*	*	五段-ワア行	連体形-一般	2	16	O	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	2	17	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	18	O	O
それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	2	19	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	20	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	21	O	O
深井	フカイ	フカイ	フカイ	名詞	固有名詞	人名	姓	*	*	2	22	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	23	O	O
作品	サクヒン	サクヒン	作品	名詞	普通名詞	一般	*	*	*	2	24	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	25	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	26	O	O
一筋	ヒトスジ	ヒトスジ	一筋	名詞	普通名詞	一般	*	*	*	2	27	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	28	O	O
連なっ	ツラナッ	ツラナル	連なる	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	29	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	30	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	31	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	32	O	O

政府	セーフ	セイフ	政府	名詞	普通名詞	一般	*	*	*	2	-10	O	O
・	*	*	・	補助記号	一般	*	*	*	*	2	-9	O	O
日銀	ニチギン	ニチギン	日銀	名詞	固有名詞	一般	*	*	*	2	-8	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-7	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-6	O	O
各国	カッコク	カッコク	各国	名詞	普通名詞	一般	*	*	*	2	-5	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-4	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-3	O	O
連絡	レンラク	レンラク	連絡	名詞	普通名詞	サ変可能	*	*	*	2	-2	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-1	O	O
緊密	キンミツ	キンミツ	緊密	形状詞	一般	*	*	*	*	2	0	O	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	2	1	B-C	B-C
とり	トリ	トル	取る	動詞	一般	*	*	五段-ラ行	連用形-一般	2	2	I-C	I-C
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
適切	テキセツ	テキセツ	適切	形状詞	一般	*	*	*	*	2	4	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	5	O	O
対応	タイオー	タイオウ	対応	名詞	普通名詞	サ変可能	*	*	*	2	6	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	7	O	O
とる	トル	トル	取る	動詞	一般	*	*	五段-ラ行	終止形-一般	2	8	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	9	O	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	10	O	O
日銀	ニチギン	ニチギン	日銀	名詞	固有名詞	一般	*	*	*	2	11	O	O
筋	スジ	スジ	筋	名詞	普通名詞	助数詞可能	*	*	*	2	12	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	13	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	14	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	15	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	16	O	O
強力	キョーリョク	キョウリョク	強力	形状詞	一般	*	*	*	*	2	17	O	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	18	O	O
協調	キョーチョー	キョウチョウ	協調	名詞	普通名詞	サ変可能	*	*	*	2	19	O	O
介入	カイニュー	カイニュウ	介入	名詞	普通名詞	サ変可能	*	*	*	2	20	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	21	O	O
行う	オコナウ	オコナウ	行う	動詞	一般	*	*	五段-ワア行	連体形-一般	2	22	O	O
方針	ホーシン	ホウシン	方針	名詞	普通名詞	一般	*	*	*	2	23	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	24	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	25	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	26	O	O
ドル	ドル	ドル	ドル-dollar	名詞	普通名詞	助数詞可能	*	*	*	2	27	O	O
売り	ウリ	ウリ	売り	接尾辞	名詞的	一般	*	*	*	2	28	O	O
圧力	アツリョク	アツリョク	圧力	名詞	普通名詞	一般	*	*	*	2	29	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	30	O	O
強く	ツヨク	ツヨイ	強い	形容詞	一般	*	*	形容詞	連用形-一般	2	31	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	32	O	O
通貨	ツーカ	ツウカ	通貨	名詞	普通名詞	一般	*	*	*	2	33	O	O
当局	トーキョク	トウキョク	当局	名詞	普通名詞	一般	*	*	*	2	34	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	35	O	O
警戒	ケーカイ	ケイカイ	警戒	名詞	普通名詞	サ変可能	*	*	*	2	36	O	O
感	カン	カン	感	名詞	普通名詞	一般	*	*	*	2	37	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	38	O	O
強め	ツヨメ	ツヨメル	強める	動詞	一般	*	*	下一段-マ行	連用形-一般	2	39	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	40	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	41	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	42	O	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	3	-31	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	-30	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-29	O	O
与党	ヨトー	ヨトウ	与党	名詞	普通名詞	一般	*	*	*	3	-28	O	O
行革	ギョーカク	ギョウカク	行革	名詞	普通名詞	一般	*	*	*	3	-27	O	O
プロジェクト	プロジェクト	プロジェクト	プロジェクト-project	名詞	普通名詞	一般	*	*	*	3	-26	O	O
チーム	チーム	チーム	チーム-team	名詞	普通名詞	一般	*	*	*	3	-25	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-24	O	O
論議	ロンギ	ロンギ	論議	名詞	普通名詞	サ変可能	*	*	*	3	-23	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	-22	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-21	O	O
個別	コベツ	コベツ	個別	名詞	普通名詞	形状詞可能	*	*	*	3	-20	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-19	O	O
法人	ホージン	ホウジン	法人	名詞	普通名詞	一般	*	*	*	3	-18	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-17	O	O
存在	ソンザイ	ソンザイ	存在	名詞	普通名詞	サ変可能	*	*	*	3	-16	O	O
意義	イギ	イギ	意義	名詞	普通名詞	一般	*	*	*	3	-15	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-14	O	O
訴える	ウッタエル	ウッタエル	訴える	動詞	一般	*	*	下一段-ア行	連体形-一般	3	-13	O	O
官僚	カンリョー	カンリョウ	官僚	名詞	普通名詞	一般	*	*	*	3	-12	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-11	O	O
異	コト	コト	異	名詞	普通名詞	一般	*	*	*	3	-10	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-9	O	O
唱える	トナエル	トナエル	唱える	動詞	一般	*	*	下一段-ア行	連体形-一般	3	-8	O	O
形	カタチ	カタチ	形	名詞	普通名詞	一般	*	*	*	3	-7	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	-6	O	O
進み	ススミ	ススム	進む	動詞	一般	*	*	五段-マ行	連用形-一般	3	-5	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	-4	O	O
官僚	カンリョー	カンリョウ	官僚	名詞	普通名詞	一般	*	*	*	3	-3	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-2	O	O
論理	ロンリ	ロンリ	論理	名詞	普通名詞	一般	*	*	*	3	-1	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	0	O	O
うえ	ウエ	ウエ	上	名詞	普通名詞	副詞可能	*	*	*	3	1	B-M	B-C
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	2	I-M	I-C
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	3	I-M	I-C
議論	ギロン	ギロン	議論	名詞	普通名詞	サ変可能	*	*	*	3	4	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	5	O	O
終始	シューシ	シュウシ	終始	名詞	普通名詞	サ変可能	*	*	*	3	6	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	7	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	8	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	9	O	O

私	ワタクシ	ワタクシ	私-代名詞	代名詞	*	*	*	*	*	2	-33	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-32	O	O
背	セ	セ	背	名詞	普通名詞	一般	*	*	*	2	-31	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-30	O	O
高く	タカク	タカイ	高い	形容詞	一般	*	*	形容詞	連用形-一般	2	-29	O	O
同	ドー	ドウ	同	名詞	普通名詞	一般	*	*	*	2	-28	O	O
年代	ネンダイ	ネンダイ	年代	名詞	普通名詞	一般	*	*	*	2	-27	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-26	O	O
女の子	オンナノコ	オンナノコ	女の子	名詞	普通名詞	一般	*	*	*	2	-25	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-24	O	O
もちろん	モチロン	モチロン	勿論	副詞	*	*	*	*	*	2	-23	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-22	O	O
男の子	オトコノコ	オトコノコ	男の子	名詞	普通名詞	一般	*	*	*	2	-21	O	O
たち	タチ	タチ	達	接尾辞	名詞的	一般	*	*	*	2	-20	O	O
より	ヨリ	ヨリ	より	助詞	格助詞	*	*	*	*	2	-19	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	-18	O	O
大きかっ	オーキカッ	オオキイ	大きい	形容詞	一般	*	*	形容詞	連用形-促音便	2	-17	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-16	O	O
うえ	ウエ	ウエ	上	名詞	普通名詞	副詞可能	*	*	*	2	-15	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-14	O	O
運動	ウンドー	ウンドウ	運動	名詞	普通名詞	サ変可能	*	*	*	2	-13	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-12	O	O
苦手	ニガテ	ニガテ	苦手	名詞	普通名詞	形状詞可能	*	*	*	2	-11	O	O
だっ	ダッ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	2	-10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-9	O	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	2	-8	O	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	-7	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-6	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-5	O	O
何	ナン	ナニ	何	代名詞	*	*	*	*	*	2	-4	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	-3	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-2	O	O
女	オンナ	オンナ	女	名詞	普通名詞	一般	*	*	*	2	-1	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	0	O	O
くせ	クセ	クセ	癖	名詞	普通名詞	一般	*	*	*	2	1	B-F	B-F
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	2	I-F	I-F
大きい	オーキー	オオキイ	大きい	形容詞	一般	*	*	形容詞	連体形-一般	2	3	O	O
ん	ン	ノ	の	助詞	準体助詞	*	*	*	*	2	4	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	5	O	O
よ	ヨ	ヨ	よ	助詞	終助詞	*	*	*	*	2	6	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	7	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	8	O	O
か	カ	カ	か	助詞	副助詞	*	*	*	*	2	9	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	10	O	O
女	オンナ	オンナ	女	名詞	普通名詞	一般	*	*	*	2	11	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	12	O	O
から	カラ	カラ	から	助詞	接続助詞	*	*	*	*	2	13	O	O
何	ナン	ナニ	何	代名詞	*	*	*	*	*	2	14	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	15	O	O
でき	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	未然形-一般	2	16	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連体形-一般	2	17	O	O
ん	ン	ノ	の	助詞	準体助詞	*	*	*	*	2	18	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	19	O	O
な	ナ	ナ	な	助詞	終助詞	*	*	*	*	2	20	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	21	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	22	O	O
言わ	イワ	イウ	言う	動詞	一般	*	*	五段-ワア行	未然形-一般	2	23	O	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	24	O	O
続け	ツズケ	ツヅケル	続ける	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	2	25	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	26	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	2	27	O	O
まし	マシ	マス	ます	助動詞	*	*	*	助動詞-マス	連用形-一般	2	28	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	29	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	30	O	O

大いに	オーイニ	オオイニ	大いに	副詞	*	*	*	*	*	2	-5	O	O
削減	サクゲン	サクゲン	削減	名詞	普通名詞	サ変可能	*	*	*	2	-4	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-3	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-2	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-1	O	O
その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	2	0	O	O
代わり	カワリ	カワリ	代わり	名詞	普通名詞	一般	*	*	*	2	1	B-M	B-M
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	2	I-M	I-M
救助	キュージョ	キュウジョ	救助	名詞	普通名詞	サ変可能	*	*	*	2	3	O	O
用	ヨー	ヨウ	用	接尾辞	名詞的	一般	*	*	*	2	4	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	5	O	O
ヘリコプター	ヘリコプター	ヘリコプター	ヘリコプター-helicopter	名詞	普通名詞	一般	*	*	*	2	6	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	7	O	O
巡視	ジュンシ	ジュンシ	巡視	名詞	普通名詞	サ変可能	*	*	*	2	8	O	O
